Season,Team Name,March Madness,Sweet Sixteen,Elite Eight,Final Four,Championship,Champions,Color,Location,,,
2021,Virginia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2021,Creighton,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2021,USC,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,red,West,,,
2021,Oregon,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,green,West,,,
2021,Oklahoma,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2021,Missouri,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,South,,,
2021,VCU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,South,,,
2021,Wichita State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,Midwest,,,
2021,Drake,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2021,UC Santa Barbara,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2021,Ohio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,Midwest,,,
2021,Eastern Washington,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,West,,,
2021,Grand Canyon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,West,,,
2021,Norfolk State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,South,,,
2021,Appalachian State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,black,West,,,
2021,Michigan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,blue,Midwest,,,
2021,Alabama,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2021,Texas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2021,Florida State,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2021,Colorado,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,West,,,
2021,BYU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2021,UConn,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2021,LSU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,West,,,
2021,St. Bonaventure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,brown,East,,,
2021,Maryland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2021,Michigan State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,Midwest,,,
2021,UCLA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,blue,South,,,
2021,Georgetown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,UNC Greensboro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,Abilene Christian,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,purple,South,,,
2021,Iona,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2021,Mount St. Mary's,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2021,Texas Southern,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2021,Baylor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,green,South,,,
2021,Ohio State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2021,Arkansas,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,red,South,,,
2021,Purdue,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,Midwest,,,
2021,Villanova,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,blue,East,,,
2021,Texas Tech,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2021,Florida,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,North Carolina,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,Wisconsin,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2021,Virginia Tech,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2021,Utah State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2021,Winthrop,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2021,North Texas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,black,South,,,
2021,Colgate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2021,Oral Roberts,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,Hartford,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2021,Illinois,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,Midwest,,,
2021,Houston,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,red,South,,,
2021,West Virginia,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,Oklahoma State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2021,Tennessee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2021,San Diego State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2021,Clemson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2021,Loyola Chicago,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2021,Georgia Tech,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,South,,,
2021,Rutgers,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2021,Syracuse,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,orange,East,,,
2021,Oregon State,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,orange,West,,,
2021,Liberty,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2021,Morehead State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2021,Cleveland State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,Midwest,,,
2021,Drexel,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,East,,,
2019,Duke,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,blue,East,,,
2019,Michigan State,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,green,Midwest,,,
2019,LSU,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,purple,West,,,
2019,Virginia Tech,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2019,Mississippi State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Maryland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2019,Louisville,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,VCU,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,yellow,South,,,
2019,UCF,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,black,South,,,
2019,Minnesota,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2019,Temple,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2019,Belmont,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,Liberty,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2019,Saint Louis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2019,Yale,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
